Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Exponential,2,1,9.3,Simulation,0.332604,0.559703,0.293813,0.26589
Constant,2,1,9.4,Simulation,0.377866,0.515606,0.272292,0.243314
Exponential,2,1,9.4,Simulation,0.336392,0.55713,0.29163,0.2655
Constant,2,1,9.5,Simulation,0.383667,0.510399,0.269976,0.240423
Exponential,2,1,9.5,Simulation,0.34276,0.551699,0.288886,0.262813
Constant,2,1,9.6,Simulation,0.389738,0.506162,0.267386,0.238776
Exponential,2,1,9.6,Simulation,0.348433,0.547238,0.286488,0.26075
Constant,2,1,9.7,Simulation,0.393844,0.502873,0.265393,0.23748
Exponential,2,1,9.7,Simulation,0.353497,0.543415,0.28455,0.258865
Constant,2,1,9.8,Simulation,0.399912,0.498501,0.263168,0.235333
Exponential,2,1,9.8,Simulation,0.359246,0.5391,0.282367,0.256733
Constant,2,1,9.9,Simulation,0.404864,0.494201,0.261613,0.232588
Exponential,2,1,9.9,Simulation,0.363886,0.535413,0.280942,0.254471
Constant,2,1,10.0,Simulation,0.408762,0.490792,0.259215,0.231577
Exponential,2,1,10.0,Simulation,0.368471,0.53164,0.279302,0.252338
Constant,2,1,10.1,Simulation,0.415202,0.485812,0.256707,0.229105
Exponential,2,1,10.1,Simulation,0.374996,0.525616,0.275681,0.249935
Constant,2,1,10.2,Simulation,0.419421,0.482525,0.254992,0.227533
Exponential,2,1,10.2,Simulation,0.378994,0.522498,0.273996,0.248502
Constant,2,1,10.3,Simulation,0.423404,0.479589,0.25355,0.226039
Exponential,2,1,10.3,Simulation,0.384723,0.518611,0.272046,0.246565
Constant,2,1,10.4,Simulation,0.428524,0.475407,0.25152,0.223887
Exponential,2,1,10.4,Simulation,0.388859,0.514442,0.26918,0.245262
Constant,2,1,10.5,Simulation,0.433173,0.472321,0.249395,0.222926
Exponential,2,1,10.5,Simulation,0.393612,0.511301,0.268316,0.242985
Constant,2,1,10.6,Simulation,0.437029,0.468787,0.247306,0.221481
Exponential,2,1,10.6,Simulation,0.399704,0.505576,0.265287,0.240289
Constant,2,1,10.7,Simulation,0.44251,0.464084,0.244977,0.219107
Exponential,2,1,10.7,Simulation,0.403408,0.503092,0.263496,0.239596
Constant,2,1,10.8,Simulation,0.447082,0.46022,0.242958,0.217262
Exponential,2,1,10.8,Simulation,0.409362,0.498402,0.261042,0.23736
Constant,2,1,10.9,Simulation,0.451759,0.456308,0.241602,0.214706
Exponential,2,1,10.9,Simulation,0.413347,0.494563,0.259531,0.235032
Constant,2,1,11.0,Simulation,0.455111,0.45415,0.239517,0.214633
Exponential,2,1,11.0,Simulation,0.418761,0.490439,0.256672,0.233767
Constant,2,1,11.1,Simulation,0.460247,0.449942,0.23797,0.211972
Exponential,2,1,11.1,Simulation,0.420738,0.488872,0.256305,0.232567
Constant,2,1,11.2,Simulation,0.463672,0.446865,0.236756,0.210109
Exponential,2,1,11.2,Simulation,0.425288,0.485282,0.253862,0.23142
Constant,2,1,11.3,Simulation,0.468006,0.443483,0.234033,0.20945
Exponential,2,1,11.3,Simulation,0.430429,0.481089,0.25186,0.229229
Constant,2,1,11.4,Simulation,0.471679,0.440547,0.232556,0.207991
Exponential,2,1,11.4,Simulation,0.434996,0.477451,0.25009,0.227361
Constant,2,1,11.5,Simulation,0.475536,0.437077,0.230417,0.20666
Exponential,2,1,11.5,Simulation,0.438498,0.474537,0.248691,0.225846
Constant,2,1,11.6,Simulation,0.47956,0.43418,0.229398,0.204782
Exponential,2,1,11.6,Simulation,0.443567,0.470566,0.246121,0.224445
Constant,2,1,11.7,Simulation,0.482805,0.431838,0.227851,0.203987
Exponential,2,1,11.7,Simulation,0.447765,0.466266,0.243939,0.222327
Constant,2,1,11.8,Simulation,0.487951,0.427464,0.22544,0.202024
Exponential,2,1,11.8,Simulation,0.452492,0.462614,0.241665,0.220949
Constant,2,1,11.9,Simulation,0.491719,0.423949,0.224454,0.199495
Exponential,2,1,11.9,Simulation,0.45578,0.460016,0.241159,0.218857
Constant,2,1,12.0,Simulation,0.49471,0.422128,0.222348,0.19978
Exponential,2,1,12.0,Simulation,0.459519,0.456458,0.239055,0.217403
Constant,2,1,12.1,Simulation,0.499507,0.417894,0.220177,0.197717
Exponential,2,1,12.1,Simulation,0.462921,0.454386,0.23802,0.216366
Constant,2,1,12.2,Simulation,0.502442,0.415141,0.218808,0.196333
Exponential,2,1,12.2,Simulation,0.466987,0.450982,0.235936,0.215046
Constant,2,1,12.3,Simulation,0.506713,0.412329,0.217561,0.194768
Exponential,2,1,12.3,Simulation,0.471564,0.447345,0.2342,0.213145
Constant,2,1,12.4,Simulation,0.509624,0.40972,0.216298,0.193422
Exponential,2,1,12.4,Simulation,0.473938,0.44588,0.233561,0.212319
Constant,2,1,12.5,Simulation,0.51289,0.407133,0.214562,0.192571
Exponential,2,1,12.5,Simulation,0.478415,0.441689,0.23161,0.210079
Constant,2,1,12.6,Simulation,0.516548,0.404194,0.213449,0.190745
Exponential,2,1,12.6,Simulation,0.480518,0.439593,0.229541,0.210052
Constant,2,1,12.7,Simulation,0.520351,0.401125,0.211385,0.18974
Exponential,2,1,12.7,Simulation,0.48663,0.434524,0.227758,0.206766
Constant,2,1,12.8,Simulation,0.523227,0.398731,0.210194,0.188537
Exponential,2,1,12.8,Simulation,0.488959,0.432043,0.22645,0.205593
Constant,2,1,12.9,Simulation,0.526708,0.395769,0.208756,0.187013
Exponential,2,1,12.9,Simulation,0.492967,0.429536,0.225525,0.204011
Constant,2,1,13.0,Simulation,0.52954,0.393479,0.207768,0.185711
Exponential,2,1,13.0,Simulation,0.49591,0.426903,0.223056,0.203847
Constant,2,1,13.1,Simulation,0.533097,0.390631,0.206031,0.1846
Exponential,2,1,13.1,Simulation,0.499593,0.423639,0.221485,0.202154
Constant,2,1,13.2,Simulation,0.536105,0.38822,0.204271,0.183949
Exponential,2,1,13.2,Simulation,0.503191,0.421208,0.220235,0.200973
Constant,2,1,13.3,Simulation,0.539471,0.385577,0.202547,0.18303
Exponential,2,1,13.3,Simulation,0.507232,0.417597,0.218467,0.19913
Constant,2,1,13.4,Simulation,0.542948,0.382311,0.201834,0.180477
Exponential,2,1,13.4,Simulation,0.509093,0.416394,0.218039,0.198355
Constant,2,1,13.5,Simulation,0.544557,0.381287,0.20097,0.180317
Exponential,2,1,13.5,Simulation,0.513853,0.412256,0.216315,0.195941
Constant,2,1,13.6,Simulation,0.548417,0.377969,0.199886,0.178083
Exponential,2,1,13.6,Simulation,0.516547,0.410142,0.214451,0.195691
Constant,2,1,13.7,Simulation,0.551795,0.375496,0.197369,0.178127
Exponential,2,1,13.7,Simulation,0.520336,0.406899,0.212981,0.193918
Constant,2,1,13.8,Simulation,0.554435,0.372717,0.196764,0.175953
Exponential,2,1,13.8,Simulation,0.522938,0.404568,0.212055,0.192513
Constant,2,1,13.9,Simulation,0.556714,0.370694,0.195451,0.175243
Exponential,2,1,13.9,Simulation,0.525205,0.40302,0.210538,0.192482
Constant,2,1,14.0,Simulation,0.559932,0.368969,0.194559,0.17441
Exponential,2,1,14.0,Simulation,0.528866,0.399921,0.208969,0.190952
Constant,2,1,14.1,Simulation,0.563734,0.365729,0.192909,0.17282
Exponential,2,1,14.1,Simulation,0.530882,0.398089,0.208449,0.18964
Constant,2,1,14.2,Simulation,0.566553,0.363058,0.19164,0.171418
Exponential,2,1,14.2,Simulation,0.534897,0.394871,0.206966,0.187905
Constant,2,1,14.3,Simulation,0.568969,0.36147,0.190389,0.171081
Exponential,2,1,14.3,Simulation,0.53853,0.39172,0.204925,0.186795
Constant,2,1,14.4,Simulation,0.571527,0.358733,0.189332,0.169401
Exponential,2,1,14.4,Simulation,0.54112,0.38987,0.204501,0.185369
Constant,2,1,14.5,Simulation,0.574654,0.356443,0.187585,0.168858
Exponential,2,1,14.5,Simulation,0.543579,0.387492,0.202714,0.184778
Constant,2,1,14.6,Simulation,0.577155,0.354607,0.18708,0.167527
Exponential,2,1,14.6,Simulation,0.544846,0.385952,0.201958,0.183994
Constant,2,1,14.7,Simulation,0.579229,0.352383,0.186729,0.165654
Exponential,2,1,14.7,Simulation,0.547926,0.383599,0.200373,0.183226
Constant,2,1,14.8,Simulation,0.582966,0.349924,0.183827,0.166097
Exponential,2,1,14.8,Simulation,0.552585,0.37972,0.198998,0.180722
Constant,2,1,14.9,Simulation,0.584225,0.348583,0.183514,0.165069
Exponential,2,1,14.9,Simulation,0.553807,0.378924,0.198497,0.180427
Constant,2,1,15.0,Simulation,0.587133,0.345866,0.18248,0.163386
Exponential,2,1,15.0,Simulation,0.558285,0.375107,0.195961,0.179146
Constant,2,1,15.1,Simulation,0.589891,0.34366,0.180516,0.163144
Exponential,2,1,15.1,Simulation,0.559581,0.374201,0.195824,0.178377
Constant,2,1,15.2,Simulation,0.59278,0.341449,0.179795,0.161654
Exponential,2,1,15.2,Simulation,0.563687,0.370897,0.193915,0.176982
Constant,2,1,15.3,Simulation,0.594388,0.339896,0.179033,0.160863
Exponential,2,1,15.3,Simulation,0.565769,0.368736,0.193175,0.175561
Constant,2,1,15.4,Simulation,0.597413,0.337725,0.177565,0.16016
Exponential,2,1,15.4,Simulation,0.568989,0.365982,0.191401,0.174581
Constant,2,1,15.5,Simulation,0.599874,0.33525,0.17708,0.15817
Exponential,2,1,15.5,Simulation,0.570156,0.36526,0.191037,0.174223
Constant,2,1,15.6,Simulation,0.602046,0.333895,0.175465,0.15843
Exponential,2,1,15.6,Simulation,0.573104,0.362681,0.189705,0.172976
Constant,2,1,15.7,Simulation,0.603983,0.332295,0.175178,0.157117
Exponential,2,1,15.7,Simulation,0.576058,0.359982,0.188663,0.171319
Constant,2,1,15.8,Simulation,0.60672,0.32994,0.173978,0.155962
Exponential,2,1,15.8,Simulation,0.577271,0.359246,0.188161,0.171085
Constant,2,1,15.9,Simulation,0.609622,0.326814,0.172369,0.154445
Exponential,2,1,15.9,Simulation,0.580774,0.356518,0.186036,0.170482
Constant,2,1,16.0,Simulation,0.611567,0.325903,0.171951,0.153952
Exponential,2,1,16.0,Simulation,0.583041,0.354656,0.185543,0.169113
Constant,2,1,16.1,Simulation,0.613753,0.324153,0.170653,0.1535
Exponential,2,1,16.1,Simulation,0.585371,0.352321,0.18451,0.167811
Constant,2,1,16.2,Simulation,0.615263,0.322761,0.170051,0.15271
Exponential,2,1,16.2,Simulation,0.587491,0.350776,0.183432,0.167344
Constant,2,1,16.3,Simulation,0.618655,0.319936,0.168878,0.151058
Exponential,2,1,16.3,Simulation,0.591197,0.347266,0.181414,0.165852
Constant,2,1,16.4,Simulation,0.620482,0.318766,0.167761,0.151005
Exponential,2,1,16.4,Simulation,0.593042,0.345806,0.180734,0.165072
Constant,2,1,16.5,Simulation,0.623126,0.316425,0.167314,0.149111
Exponential,2,1,16.5,Simulation,0.594913,0.34404,0.180009,0.164031
Constant,2,1,16.6,Simulation,0.624443,0.314861,0.166429,0.148432
Exponential,2,1,16.6,Simulation,0.598817,0.341618,0.178439,0.163179
Constant,2,1,16.7,Simulation,0.627049,0.313219,0.164921,0.148298
Exponential,2,1,16.7,Simulation,0.599244,0.341034,0.178986,0.162048
Constant,2,1,16.8,Simulation,0.629053,0.311455,0.164244,0.147211
Exponential,2,1,16.8,Simulation,0.602525,0.337609,0.177076,0.160533
Constant,2,1,16.9,Simulation,0.630287,0.309968,0.163331,0.146637
Exponential,2,1,16.9,Simulation,0.603999,0.336932,0.176343,0.160589
Constant,2,1,17.0,Simulation,0.632299,0.30877,0.162547,0.146223
Exponential,2,1,17.0,Simulation,0.605457,0.33599,0.175321,0.160669
Constant,2,1,17.1,Simulation,0.63449,0.307201,0.161827,0.145374
Exponential,2,1,17.1,Simulation,0.608205,0.333038,0.174115,0.158923
Constant,2,1,17.2,Simulation,0.636908,0.304611,0.160943,0.143668
Exponential,2,1,17.2,Simulation,0.61131,0.33072,0.173107,0.157613
Constant,2,1,17.3,Simulation,0.639054,0.303474,0.159406,0.144068
Exponential,2,1,17.3,Simulation,0.612789,0.329516,0.172491,0.157025
Constant,2,1,17.4,Simulation,0.640399,0.301738,0.159095,0.142643
Exponential,2,1,17.4,Simulation,0.615257,0.327063,0.170936,0.156127
Constant,2,1,17.5,Simulation,0.643446,0.299674,0.157624,0.14205
Exponential,2,1,17.5,Simulation,0.617558,0.325873,0.170647,0.155226
Constant,2,1,17.6,Simulation,0.644559,0.298557,0.15695,0.141607
Exponential,2,1,17.6,Simulation,0.617945,0.325225,0.169649,0.155576
Constant,2,1,17.7,Simulation,0.645781,0.297286,0.156349,0.140937
Exponential,2,1,17.7,Simulation,0.619866,0.323107,0.169364,0.153743
Constant,2,1,17.8,Simulation,0.647967,0.295596,0.155263,0.140333
Exponential,2,1,17.8,Simulation,0.623061,0.320764,0.168253,0.152511
Constant,2,1,17.9,Simulation,0.649977,0.293898,0.154758,0.13914
Exponential,2,1,17.9,Simulation,0.624686,0.319523,0.167194,0.152329
Constant,2,1,18.0,Simulation,0.651817,0.292638,0.154798,0.13784
Exponential,2,1,18.0,Simulation,0.626336,0.318127,0.166685,0.151442
Constant,2,1,18.1,Simulation,0.653394,0.291407,0.153631,0.137776
Exponential,2,1,18.1,Simulation,0.629074,0.315967,0.165805,0.150162
Constant,2,1,18.2,Simulation,0.65612,0.288961,0.152528,0.136433
Exponential,2,1,18.2,Simulation,0.630957,0.313888,0.164166,0.149722
Constant,2,1,18.3,Simulation,0.657297,0.288122,0.151648,0.136474
Exponential,2,1,18.3,Simulation,0.63317,0.312346,0.163458,0.148888
Constant,2,1,18.4,Simulation,0.658785,0.286852,0.151303,0.135549
